,period,short_desc,temperature,description
0,Tonight,Patchy Fog,Low: 52 °F,"Tonight: Patchy fog after 2am.  Otherwise, partly cloudy, with a low around 52. Light west southwest wind. "
1,Sunday,Patchy Fogthen Sunny,High: 72 °F,"Sunday: Patchy fog before 7am.  Otherwise, sunny, with a high near 72. North wind around 7 mph. "
2,SundayNight,Mostly Clear,Low: 52 °F,"Sunday Night: Mostly clear, with a low around 52. Light northwest wind. "
3,Monday,Mostly Sunny,High: 69 °F,"Monday: Mostly sunny, with a high near 69. North northwest wind 3 to 6 mph. "
4,MondayNight,Mostly Cloudy,Low: 54 °F,"Monday Night: Mostly cloudy, with a low around 54. West wind 6 to 8 mph. "
5,Tuesday,Mostly Sunny,High: 64 °F,"Tuesday: Mostly sunny, with a high near 64."
6,TuesdayNight,Mostly Clear,Low: 52 °F,"Tuesday Night: Mostly clear, with a low around 52."
7,Wednesday,Sunny,High: 66 °F,"Wednesday: Sunny, with a high near 66."
8,WednesdayNight,Clear,Low: 50 °F,"Wednesday Night: Clear, with a low around 50."
